id,name,type,address,phone,email,source
10651,Citi Hotel 1697,Hotel,"927, MG Road, Baner, Pune - 411014",9128190135,citihotel169734@outlook.com,synthetic
2042,Urban Corner 254,Restaurant,"339, Station Road, Bibwewadi, Pune - 411001",6795014670,,synthetic
8669,Grand Hotel 1124,Hotel,"934, Station Road, Wakad, Pune - 411018",7713331632,grandhotel112437@gmail.com,synthetic
1115,Galaxy Lodge 426,Lodge,"843, Main Rd, Pashan, Pune - 411045",7880705326,galaxylodge42696@gmail.com,synthetic
13903,Urban Hotel 509,Hotel,"475, MG Road, Sahakarnagar, Pune - 411028",7086137011,urbanhotel50939@yahoo.com,synthetic
11964,Sunrise Hotel 806,Hotel,"851, Lane No. 1, Bopodi, Pune - 411018",7387626259,sunrisehotel80622@info.com,synthetic
11073,Ommart Hotel 222,Hotel,"398, Market Lane, Shivaji Nagar, Pune - 411018",8692565008,,synthetic
3003,Blue Lodge 1206,Lodge,"342, Station Road, Sahakarnagar, Pune - 411029",9888370799,,synthetic
19772,Ommart Table 168,Restaurant,"391, Central Street, Nagar Road, Pune - 411045",8933955260,,synthetic
8116,Green Dine 75,Restaurant,"549, Lane No. 19, Kharadi, Pune - 411001",7886842393,,synthetic
3526,Comfort Lodge 1360,Lodge,"309, Station Road, Kondhwa, Pune - 411045",6291269815,,synthetic
7880,City Hotel 937,Hotel,"867, Market Lane, Sahakarnagar, Pune - 411001",6297168862,,synthetic
16442,Elite Hotel 962,Hotel,"584, Market Lane, Kondhwa, Pune - 411029",9278992518,,synthetic
16297,Citi Hotel 696,Hotel,"208, Station Road, Aundh, Pune - 411001",6007814390,citihotel69651@yahoo.com,synthetic
12567,Elite Lodge 1684,Lodge,"258, Station Road, Shivaji Nagar, Pune - 411045",7009458925,elitelodge168419@business.com,synthetic
5253,Galaxy Chow 2,Restaurant,"873, MG Road, Sahakarnagar, Pune - 411004",6109165049,galaxychow287@business.com,synthetic
19394,Green Hotel 1443,Hotel,"414, Market Lane, Erandwane, Pune - 411018",9177360685,greenhotel144381@yahoo.com,synthetic
16797,Lotus Hotel 1710,Hotel,"740, Market Lane, Talawade, Pune - 411001",6531960615,lotushotel171070@business.com,synthetic
8095,City Hotel 1853,Hotel,"431, Central Street, Viman Nagar, Pune - 411045",7847666655,cityhotel185338@gmail.com,synthetic
323,Ommart Delights 133,Restaurant,"36, Main Rd, Aundh, Pune - 411029",6072006425,,synthetic
9924,Royal Lodge 395,Lodge,"703, Station Road, Chinchwad, Pune - 411004",9545527853,royallodge39539@business.com,synthetic
7460,Metro Lodge 761,Lodge,"365, Main Rd, Kothrud, Pune - 411045",7963417460,,synthetic
19025,Phoenix Hotel 668,Hotel,"118, MG Road, Magarpatta, Pune - 411014",8301359335,phoenixhotel66864@info.com,synthetic
17554,Grand House 204,Restaurant,"274, Station Road, Camp, Pune - 411029",9593524191,grandhouse2041@info.com,synthetic
9120,Ommart Lodge 1716,Lodge,"57, Central Street, Koregaon Park, Pune - 411004",9079711136,,synthetic
16422,The Fusion 30,Restaurant,"389, Lane No. 15, Kothrud, Pune - 411001",7831162608,thefusion3029@business.com,synthetic
16061,Hotel Bistro 230,Restaurant,"480, Station Road, Koregaon Park, Pune - 411028",7792259579,,synthetic
